Time [s], Analyzer Name, Decoded Protocol Result
0.004582343750000,I2S / PCM,Ch 2: 0x000047
0.004592750000000,I2S / PCM,Ch 1: 0x0000D1
0.004603187500000,I2S / PCM,Ch 2: 0x000114
0.004613593750000,I2S / PCM,Ch 1: 0x000513
0.004624031250000,I2S / PCM,Ch 2: 0x00072E
0.004634437500000,I2S / PCM,Ch 1: 0xFFF9D3
0.004644875000000,I2S / PCM,Ch 2: 0xFFFC47
0.004655281250000,I2S / PCM,Ch 1: 0x000769
0.004665718750000,I2S / PCM,Ch 2: 0x0007DF
0.004676125000000,I2S / PCM,Ch 1: 0x0001D4
0.004686562500000,I2S / PCM,Ch 2: 0x00044D
0.004697000000000,I2S / PCM,Ch 1: 0x000162
0.004707406250000,I2S / PCM,Ch 2: 0x0002F2
0.004717843750000,I2S / PCM,Ch 1: 0x00032E
0.004728250000000,I2S / PCM,Ch 2: 0x000267
0.004738687500000,I2S / PCM,Ch 1: 0xFFFB1B
0.004749093750000,I2S / PCM,Ch 2: 0xFFFE2B
0.004759531250000,I2S / PCM,Ch 1: 0x00019F
0.004769937500000,I2S / PCM,Ch 2: 0x00017E
0.004780375000000,I2S / PCM,Ch 1: 0x000513
0.004790781250000,I2S / PCM,Ch 2: 0x00072E
0.004801218750000,I2S / PCM,Ch 1: 0xFFF9D3
0.004811625000000,I2S / PCM,Ch 2: 0x0001E6
0.004822062500000,I2S / PCM,Ch 1: 0x000147
0.004832468750000,I2S / PCM,Ch 2: 0x0003E6
0.004842906250000,I2S / PCM,Ch 1: 0x0005B5
